athlete_id,name,born_date,born_city,born_region,born_country,noc,height_cm,weight_kg,died_date
95527,rune molberg,1952-11-21 00:00:00,oslo,oslo,nor,norway,186.0,80.0,unknown
95528,gheorghe moldoveanu,1916-05-04 00:00:00,unknown,unknown,unknown,romania,176.0,70.0,unknown
95529,lars molin,1956-05-07 00:00:00,rnskldsvik,vsternorrland,swe,sweden,181.0,80.0,unknown
95530,alfio molina,1948-04-20 00:00:00,lugano,ticino,sui,switzerland,175.0,68.0,unknown
95531,karl molitor,1920-06-29 00:00:00,wengen,bern,sui,switzerland,176.0,70.0,20140825
95532,didier mollard,1969-12-04 00:00:00,chambry,savoie,fra,france,180.0,65.0,unknown
95533,andr moillen,1906-01-01 00:00:00,unknown,unknown,unknown,switzerland,176.0,70.0,19520115
95534,jean moillen,1903-01-01 00:00:00,unknown,unknown,unknown,switzerland,176.0,70.0,19520115
95535,henri mollin,1958-12-17 00:00:00,antwerpen antwerp,antwerpen,bel,belgium,181.0,75.0,unknown
95536,saa molnar,1920-02-24 00:00:00,bled,bled,slo,yugoslavia,176.0,70.0,20041120
95537,luis moln,1926-06-26 00:00:00,la massana,la massana,and,andorra spain,176.0,70.0,unknown
95538,anderl molterer,1931-10-08 00:00:00,kitzbhel,tirol,aut,austria,176.0,70.0,20231025
95539,terry monaghan,1933-08-26 00:00:00,mountain ash,wales,gbr,great britain,176.0,70.0,unknown
95540,tally monastyryov,1939-11-07 00:00:00,moskva moscow,moskva,rus,soviet union,172.0,72.0,20110131
95541,luc moneger,1974-03-04 00:00:00,angers,maineetloire,fra,france,166.0,56.0,unknown
95542,jorge monjo,1944-02-21 00:00:00,barcelona,barcelona,esp,spain,176.0,70.0,unknown
95543,bobby monard,1901-02-11 00:00:00,chamonixmontblanc,hautesavoie,fra,france,165.0,70.0,19730203
95544,andr monnier,1926-06-26 00:00:00,foncinelehaut,jura,fra,france,176.0,70.0,20231008
95545,jean monnier,1924-08-14 00:00:00,foncinelehaut,jura,fra,france,176.0,70.0,19950831
95546,kalevi mononen,1920-03-25 00:00:00,unknown,unknown,unknown,finland,176.0,70.0,19960918
95547,lauri mononen,1950-03-22 00:00:00,joensuu,pohjoiskarjala,fin,finland,183.0,70.0,20180805
95548,ferenc monostori,1909-01-26 00:00:00,budapest,budapest,hun,hungary,176.0,70.0,20080101
