athlete_id,name,born_date,born_city,born_region,born_country,noc,height_cm,weight_kg,died_date
90400,daniel becke,19780312,erfurt,thringen,ger,germany,187.0,76.0,nat
90401,kathrin freitag,19740416,na,na,na,germany,161.0,61.0,nat
90402,stefan nimke,19780301,hagenow,mecklenburgvorpommern,ger,germany,186.0,94.0,nat
90403,olaf pollack,19730920,rckelwitz,sachsen,ger,germany,185.0,75.0,nat
90404,thorsten rund,19760225,lbben,brandenburg,ger,germany,188.0,75.0,nat
90405,jan van eijden,19760810,bad neuenahrahrweiler,rheinlandpfalz,ger,germany,173.0,78.0,nat
90406,ulrike weichelt,19770225,dresden,sachsen,ger,germany,163.0,59.0,nat
90407,carsten bresser,19700904,wrzburg,bayern,ger,germany,175.0,66.0,nat
90408,lado fumic,19760520,kirchheim unter teck,badenwrttemberg,ger,germany,180.0,69.0,nat
90409,sabine spitz,19711227,bad sckingen,badenwrttemberg,ger,germany,167.0,60.0,nat
90410,hedda zu putlitz,19650904,neumnster,schleswigholstein,ger,germany,188.0,71.0,nat
90411,nikos angelidis,19770122,athina athens,attiki,gre,greece,183.0,79.0,nat
90412,kleanthis bargkas,19780724,thessaloniki,thessalia,gre,greece,178.0,79.0,nat
90413,scar pineda,19770404,na,na,na,guatemala,173.0,59.0,nat
90414,derek horton,19720926,tamuning,guam,gum,guam,183.0,70.0,nat
90415,alexandra yeung,19720915,na,na,na,hong kong china,160.0,48.0,nat
90416,szilvia szabolcsi,19771012,budapest,budapest,hun,hungary,168.0,68.0,nat
90417,hossein askari,19750323,khomein,markazi,iri,islamic republic of iran,179.0,73.0,nat
90418,ahad kazemi sarai,19750522,na,na,na,islamic republic of iran,180.0,71.0,nat
90419,deirdre murphy,19590114,new york,new york,usa,ireland,168.0,58.0,20141111
90420,ciarn power,19760508,na,na,na,ireland,184.0,68.0,nat
90421,tarja owens,19770525,delgany,wicklow,irl,ireland,165.0,56.0,nat
90422,robin seymour,19710406,wicklow,wicklow,irl,ireland,177.0,72.0,nat
90423,paolo bettini,19740401,cecina,livorno,ita,italy,169.0,58.0,nat
90424,danilo di luca,19760102,spoltore,pescara,ita,italy,177.0,64.0,nat
90425,marco pantani,19700113,cesena,forlcesena,ita,italy,178.0,64.0,20040214
90426,mario benetton,19740101,padova,padova,ita,italy,175.0,70.0,nat
90427,marco villa,19690208,abbiategrasso,milano,ita,italy,172.0,75.0,nat
90428,marco bui,19771017,venezia,venezia,ita,italy,175.0,65.0,nat
90429,hubert pallhuber,19650917,brunico,bolzanobozen,ita,italy,168.0,61.0,nat
90430,yoshiyuki abe,19690815,na,na,na,japan,175.0,67.0,nat
90431,miho oki,19740308,shimizu,hokkaido,jpn,japan,155.0,48.0,nat
90432,makoto iijima,19710212,hino,tokyo,jpn,japan,169.0,63.0,nat
90433,narihiro inamura,19711218,maebashi,gunma,jpn,japan,183.0,85.0,nat
90434,akemi morimoto,19680222,na,na,na,japan,162.0,52.0,nat
90435,tomohiro nagatsuka,19781128,toride,ibaraki,jpn,japan,182.0,78.0,nat
90436,shinichi ota,19751011,na,na,na,japan,182.0,82.0,nat
90437,hiroko nambu,19681008,na,na,na,japan,166.0,52.0,nat
90438,raita suzuki,19720811,okazaki,aichi,jpn,japan,168.0,52.0,nat
90439,sergey yakovlev,19760421,petropavl,soltustyk qazaqstan,kaz,kazakhstan,175.0,70.0,nat
90440,ken muhindi,19780612,na,na,na,kenya,170.0,60.0,nat
90441,eom inyeong,19710529,na,na,na,republic of korea,175.0,80.0,nat
90442,gang dongu,19780210,na,na,na,republic of korea,180.0,70.0,nat
90443,raivis belohvoiks,19760121,rga,rga,lat,latvia,182.0,70.0,nat
90444,andris naudus,19750905,dobele,dobeles novads,lat,latvia,183.0,78.0,nat
90445,andris reiss,19780310,kuldga,kuldgas novads,lat,latvia,185.0,73.0,nat
90446,ivo lakus,19790304,valmiera,valmiera,lat,latvia,190.0,96.0,nat
90447,gvido miezis,19800909,ventspils,ventspils,lat,latvia,176.0,85.0,nat
